0002;1;B;1.0;2012 Q1;BCM2835;Egoman;ARM 1176JZF-S (32-bit);Single-Core @ 700 MHz;BCM VideoCore IV;256 MB;SD, MMC, SDIO;10/100 Mbit/s;None;None;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (RCA), MIPI (DSI);1;1;2;P1 Rev1;rpi_1_model_b_rev_1.png
0003;1;B;1.0;2012 Q3;BCM2835;Egoman;ARM 1176JZF-S (32-bit);Single-Core @ 700 MHz;BCM VideoCore IV;256 MB;SD, MMC, SDIO;10/100 Mbit/s;None;None;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (RCA), MIPI (DSI);1;1;2;P1 Rev1;rpi_1_model_b_rev_1.png
0004;1;B;2.0;2012 Q3;BCM2835;Sony;ARM 1176JZF-S (32-bit);Single-Core @ 700 MHz;BCM VideoCore IV;256 MB;SD, MMC, SDIO;10/100 Mbit/s;None;None;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (RCA), MIPI (DSI);1;1;2;P1 Rev2, P5 Rev2;rpi_1_model_b_rev_2.png
0005;1;B;2.0;2012 Q4;BCM2835;Qisda;ARM 1176JZF-S (32-bit);Single-Core @ 700 MHz;BCM VideoCore IV;256 MB;SD, MMC, SDIO;10/100 Mbit/s;None;None;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (RCA), MIPI (DSI);1;1;2;P1 Rev2, P5 Rev2;rpi_1_model_b_rev_2.png
0006;1;B;2.0;2012 Q4;BCM2835;Egoman;ARM 1176JZF-S (32-bit);Single-Core @ 700 MHz;BCM VideoCore IV;256 MB;SD, MMC, SDIO;10/100 Mbit/s;None;None;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (RCA), MIPI (DSI);1;1;2;P1 Rev2, P5 Rev2;rpi_1_model_b_rev_2.png
0007;1;A;2.0;2013 Q1;BCM2835;Egoman;ARM 1176JZF-S (32-bit);Single-Core @ 700 MHz;BCM VideoCore IV;256 MB;SD, MMC, SDIO;None;None;None;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (RCA), MIPI (DSI);1;1;1;P1 Rev2, P5 Rev2;rpi_1_model_a_rev_2.png
0008;1;A;2.0;2013 Q1;BCM2835;Sony;ARM 1176JZF-S (32-bit);Single-Core @ 700 MHz;BCM VideoCore IV;256 MB;SD, MMC, SDIO;None;None;None;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (RCA), MIPI (DSI);1;1;1;P1 Rev2, P5 Rev2;rpi_1_model_a_rev_2.png
0009;1;A;2.0;2013 Q1;BCM2835;Qisda;ARM 1176JZF-S (32-bit);Single-Core @ 700 MHz;BCM VideoCore IV;256 MB;SD, MMC, SDIO;None;None;None;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (RCA), MIPI (DSI);1;1;1;P1 Rev2, P5 Rev2;rpi_1_model_a_rev_2.png
000d;1;B;2.0;2012 Q4;BCM2835;Egoman;ARM 1176JZF-S (32-bit);Single-Core @ 700 MHz;BCM VideoCore IV;512 MB;SD, MMC, SDIO;10/100 Mbit/s;None;None;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (RCA), MIPI (DSI);1;1;2;P1 Rev1;rpi_1_model_b_rev_2.png
000e;1;B;2.0;2012 Q4;BCM2835;Sony;ARM 1176JZF-S (32-bit);Single-Core @ 700 MHz;BCM VideoCore IV;512 MB;SD, MMC, SDIO;10/100 Mbit/s;None;None;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (RCA), MIPI (DSI);1;1;2;P1 Rev1;rpi_1_model_b_rev_2.png
000f;1;B;2.0;2012 Q4;BCM2835;Qisda;ARM 1176JZF-S (32-bit);Single-Core @ 700 MHz;BCM VideoCore IV;512 MB;SD, MMC, SDIO;10/100 Mbit/s;None;None;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (RCA), MIPI (DSI);1;1;2;P1 Rev1;rpi_1_model_b_rev_2.png
0010;1+;B+;1.0;2014 Q3;BCM2835;Sony;ARM 1176JZF-S (32-bit);Single-Core @ 700 MHz;BCM VideoCore IV;512 MB;MicroSDHC;10/100 Mbit/s;None;None;(I2S);Analog, HDMI, I2S;MIPI (CSI);HDMI, Composite Video (TRRS), MIPI (DSI);1;1;4;P1 plus;rpi_1_model_b_plus.png
